"id","category","surface","current_signature","disposition","target_contract","target_phase","owner","requirements","evidence","migration_guidance"
"CLI-034","cli","roadmap issue archive","arg:issue_id:optional;opt:--all-closed;opt:--orphaned;opt:--list;opt:--dry-run;opt:--force;opt:--verbose|-v","Replace","Retain lifecycle commands while replacing physical active/archive moves with canonical lifecycle metadata.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/archive.py","Follow the target contract; migration details are finalized in the named implementation phase."
"CLI-035","cli","roadmap issue block","arg:issue_id:required;opt:--reason|-r","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/block.py",""
"CLI-036","cli","roadmap issue close","arg:issue_id:required;opt:--reason|-r;opt:--record-time|-t;opt:--date","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/close.py",""
"CLI-037","cli","roadmap issue comment","none","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/comment.py",""
"CLI-038","cli","roadmap issue comment add","arg:issue_id:required;arg:body:required;opt:--author|-a;opt:--reply-to|-r","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/comment.py",""
"CLI-039","cli","roadmap issue comment list","arg:issue_id:required;opt:--format|-f[text|json]","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/comment.py",""
"CLI-040","cli","roadmap issue create","opt:--title;opt:--priority|-p[critical|high|medium|low];opt:--type|-t[feature|bug|other];opt:--milestone|-m;opt:--assignee|-a;opt:--labels|-l;opt:--estimate|-e;opt:--depends-on;opt:--blocks;opt:--content|-d;opt:--git-branch;opt:--checkout|--no-checkout;opt:--branch-name;opt:--force","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/create.py",""
"CLI-041","cli","roadmap issue delete","arg:issue_id:required;opt:--yes|-y","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/delete.py",""
"CLI-042","cli","roadmap issue deps","none","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/deps.py",""
"CLI-043","cli","roadmap issue deps add","arg:issue_id:required;arg:dependency_id:required","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/deps.py",""
"CLI-044","cli","roadmap issue deps remove","arg:issue_id:required;arg:dependency_id:required","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/deps.py",""
"CLI-045","cli","roadmap issue deps update","arg:issue_id:required;arg:old_dependency_id:required;arg:new_dependency_id:required","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/deps.py",""
"CLI-046","cli","roadmap issue link-github","arg:issue_id:required;opt:--github-id;opt:--owner;opt:--repo","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/link.py","Keep any external URL or ID as ordinary canonical content; Roadmap 0.2 performs no provider validation, mapping, or reconciliation."
"CLI-047","cli","roadmap issue list","arg:filter_type:optional;opt:--milestone|-m;opt:--backlog;opt:--unassigned;opt:--open;opt:--blocked;opt:--next-milestone;opt:--assignee|-a;opt:--my-issues;opt:--status|-s[todo|in-progress|blocked|review|closed];opt:--priority|-p[critical|high|medium|low];opt:--issue-type|-t[feature|bug|other];opt:--overdue;opt:--search;opt:--scope[visible|closed|archived|all];opt:--verbose|-v;opt:--format[rich|plain|json|csv|markdown];opt:--columns;opt:--sort-by;opt:--filter","Replace","Retain query and stable output options; add explicit search and lifecycle scope; remove provider-specific columns and the legacy export shortcut.","Phase 6","Maintainer","UR-002; UR-018; TR-004","roadmap/adapters/cli/issues/list.py","Use --scope for visible closed archived or all records and --search for text queries; use roadmap data export for file exports."
"CLI-048","cli","roadmap issue lookup-github","arg:github_id:required","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/lookup.py","Keep any external URL or ID as ordinary canonical content; Roadmap 0.2 performs no provider validation, mapping, or reconciliation."
"CLI-049","cli","roadmap issue progress","arg:issue_id:required;arg:percentage:required","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/progress.py",""
"CLI-050","cli","roadmap issue restore","arg:issue_id:optional;opt:--all;opt:--status[todo|in-progress|blocked|review|closed];opt:--dry-run;opt:--force;opt:--verbose|-v","Replace","Retain lifecycle commands while replacing physical active/archive moves with canonical lifecycle metadata.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/restore.py","Follow the target contract; migration details are finalized in the named implementation phase."
"CLI-051","cli","roadmap issue start","arg:issue_id:required;opt:--date;opt:--git-branch|--no-git-branch;opt:--checkout|--no-checkout;opt:--branch-name;opt:--force","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/start.py",""
"CLI-052","cli","roadmap issue sync-status","arg:issue_id:optional;opt:--history;opt:--statistics;opt:--all","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/sync_status.py","No direct replacement; use retained local and Git-native workflows documented for 0.2."
"CLI-053","cli","roadmap issue unblock","arg:issue_id:required;opt:--reason|-r","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/unblock.py",""
"CLI-054","cli","roadmap issue unlink-github","arg:issue_id:required","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/unlink.py","Keep any external URL or ID as ordinary canonical content; Roadmap 0.2 performs no provider validation, mapping, or reconciliation."
"CLI-055","cli","roadmap issue update","arg:issue_id:required;opt:--title;opt:--priority|-p[critical|high|medium|low];opt:--status|-s[todo|in-progress|blocked|review|closed];opt:--assignee|-a;opt:--milestone|-m;opt:--description|-d;opt:--estimate|-e;opt:--reason|-r","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 7","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/update.py",""
"CLI-056","cli","roadmap issue view","arg:issue_id:required","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 6","Maintainer","UR-002; TR-004","roadmap/adapters/cli/issues/view.py",""
"CLI-057","cli","roadmap milestone","none","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/__init__.py",""
"CLI-058","cli","roadmap milestone archive","arg:milestone_name:optional;opt:--all-closed;opt:--list;opt:--dry-run;opt:--force;opt:--verbose|-v","Replace","Retain lifecycle commands while replacing physical active/archive moves with canonical lifecycle metadata.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/archive.py","Follow the target contract; migration details are finalized in the named implementation phase."
"CLI-059","cli","roadmap milestone assign","arg:issue_id:required;arg:milestone_name:required","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/assign.py",""
"CLI-060","cli","roadmap milestone close","arg:milestone_name:required;opt:--force","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/close.py",""
"CLI-061","cli","roadmap milestone create","opt:--title|-t;opt:--description|-d;opt:--due-date;opt:--project|-p","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/create.py",""
"CLI-062","cli","roadmap milestone delete","arg:milestone_id:required;opt:--yes|-y","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/delete.py",""
"CLI-063","cli","roadmap milestone kanban","arg:milestone_name:required;opt:--compact;opt:--no-color","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/kanban.py",""
"CLI-064","cli","roadmap milestone list","opt:--overdue;opt:--format[rich|plain|json|csv|markdown];opt:--columns;opt:--sort-by;opt:--filter","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/list.py",""
"CLI-065","cli","roadmap milestone recalculate","arg:milestone_name:optional;opt:--method[effort_weighted|count_based]","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/recalculate.py",""
"CLI-066","cli","roadmap milestone restore","arg:milestone_name:optional;opt:--all;opt:--dry-run;opt:--force;opt:--verbose|-v","Replace","Retain lifecycle commands while replacing physical active/archive moves with canonical lifecycle metadata.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/restore.py","Follow the target contract; migration details are finalized in the named implementation phase."
"CLI-067","cli","roadmap milestone update","arg:milestone_id:required;opt:--name;opt:--description|-d;opt:--due-date;opt:--status[open|closed];opt:--project|-p","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/update.py",""
"CLI-068","cli","roadmap milestone view","arg:milestone_name:required;opt:--status[todo|in-progress|blocked|review|closed];opt:--priority[critical|high|medium|low];opt:--only-open","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/milestones/view.py",""
"CLI-069","cli","roadmap project","none","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/projects/__init__.py",""
"CLI-070","cli","roadmap project archive","arg:project_name:optional;opt:--all-closed;opt:--list;opt:--dry-run;opt:--force;opt:--verbose|-v","Replace","Retain lifecycle commands while replacing physical active/archive moves with canonical lifecycle metadata.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/projects/archive.py","Follow the target contract; migration details are finalized in the named implementation phase."
"CLI-071","cli","roadmap project close","arg:project_id:required;opt:--force","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/projects/close.py",""
"CLI-072","cli","roadmap project create","opt:--title|-t;opt:--description|-d;opt:--repository|-r","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/projects/create.py",""
"CLI-073","cli","roadmap project delete","arg:project_id:required;opt:--yes|-y","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/projects/delete.py",""
"CLI-074","cli","roadmap project list","opt:--status[planning|active|on-hold|completed|cancelled];opt:--owner;opt:--priority[critical|high|medium|low];opt:--overdue;opt:--verbose|-v;opt:--format[rich|plain|json|csv|markdown];opt:--columns;opt:--sort-by;opt:--filter","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/projects/list.py",""
"CLI-075","cli","roadmap project restore","arg:project_name:optional;opt:--all;opt:--dry-run;opt:--force;opt:--verbose|-v","Replace","Retain lifecycle commands while replacing physical active/archive moves with canonical lifecycle metadata.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/projects/restore.py","Follow the target contract; migration details are finalized in the named implementation phase."
"CLI-076","cli","roadmap project update","arg:project_id:required;opt:--name;opt:--description|-d;opt:--repository|-r;opt:--status[active|inactive|completed]","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/projects/update.py",""
"CLI-077","cli","roadmap project view","arg:project_id:required","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 8","Maintainer","UR-003; TR-004","roadmap/adapters/cli/projects/view.py",""
"CLI-078","cli","roadmap status","opt:--verbose|-v;opt:--format|-f[rich|plain|json|csv|markdown];opt:--output|-o","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 10","Maintainer","UR-008; TR-004; TR-013","roadmap/adapters/cli/status.py",""
"CLI-079","cli","roadmap sync","opt:--dry-run;opt:--verbose;opt:--force-local;opt:--force-remote;opt:--backend[github|git];opt:--base;opt:--reset-baseline;opt:--clear-baseline;opt:--conflicts;opt:--push;opt:--pull;opt:--link;opt:--unlink;opt:--issue-id;opt:--baseline[local|remote|interactive];opt:--local-only;opt:--remote-only;opt:--milestone|-m;opt:--milestone-state[open|closed|all];opt:--since;opt:--until;opt:--interactive|-i;opt:--resume;opt:--detect-duplicates|--no-detect-duplicates;opt:--interactive-duplicates;opt:--duplicate-title-threshold;opt:--duplicate-content-threshold;opt:--duplicate-auto-resolve-threshold;opt:--show-metrics;opt:--dedup-only;opt:--fuzzy","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","UR-007; TR-004; TR-028","roadmap/adapters/cli/sync.py","Use ordinary git fetch/pull/merge-or-rebase/push for collaboration; SQLite maintenance is projection refresh/rebuild, not remote sync."
"CLI-080","cli","roadmap sync metrics","opt:--backend;opt:--days;opt:--latest;opt:--stats;opt:--verbose|-v","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","UR-007; TR-004; TR-028","roadmap/adapters/cli/sync_metrics_command.py","Use ordinary git fetch/pull/merge-or-rebase/push for collaboration; SQLite maintenance is projection refresh/rebuild, not remote sync."
"CLI-081","cli","roadmap today","opt:--verbose|-v","Preserve","Retain command path and documented arguments/options; incidental Rich styling and prose are not stable.","Phase 10","Maintainer","UR-008; TR-004; TR-013","roadmap/adapters/cli/today.py",""
"CLI-082","cli","roadmap validate-links","opt:--auto-fix;opt:--prune-extra;opt:--dedupe;opt:--dry-run;opt:--verbose","Remove","Absent from the 0.2 command tree.","Phase 11","Maintainer","UR-007; TR-004; TR-028","roadmap/adapters/cli/sync_validation.py","Keep any external URL or ID as ordinary canonical content; Roadmap 0.2 performs no provider validation, mapping, or reconciliation."
"CLI-083","cli","roadmap migrate","opt:--dry-run;opt:--yes|-y;opt:--format[plain|json]","Preserve","Provide explicit preflight, dry-run, confirmed execution, machine-readable output, recovery, and idempotent rerun for the supported 0.1.1 workspace migration.","Phase 9","Maintainer","UR-048; TR-004; TR-035","roadmap/adapters/cli/migrate.py; tests/integration/cli/test_cli_migrate_command.py","Run roadmap migrate --dry-run before roadmap migrate --yes; resolve every reported conflict before retrying."
"CFG-001","config","config.behavior.auto_branch_on_start","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-002","config","config.behavior.confirm_destructive","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-003","config","config.behavior.default_project_id","YAML dotted key","Replace","Declare default project selection as shared project policy in the versioned project configuration.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Phase 9 migration retains the referenced stable project ID in project scope."
"CFG-004","config","config.behavior.include_closed_in_critical_path","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-005","config","config.behavior.show_tips","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-006","config","config.display.default_milestone","YAML dotted key","Replace","Map to the typed user-preference schema; never store credentials or machine paths in project configuration.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Phase 9 migration moves recognized values to their declared user scope."
"CFG-007","config","config.display.table_width","YAML dotted key","Replace","Map to the typed user-preference schema; never store credentials or machine paths in project configuration.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Phase 9 migration moves recognized values to their declared user scope."
"CFG-008","config","config.export.auto_gitignore","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
